Code,League,Season,Date,Home,Away,MatchID,Market,Side,AvgOdd,MarketP,RawP,CalP,Rel,N,Win,BestOdd,ExecAvg,ExecBest,WeekID,Year,Month,logit_market,logit_raw,diff,absdiff,ratio,logN,Code_cat,Market_cat,Side_cat,Pred,AvgNoHaircut,PSOdd,B365Odd,Pinnacle -2%,Bet365 -2%,EffectiveOdd,EV,Profit
B1,Bélgica - Pro League,2025,2025-08-16,St. Gilloise,Standard,B1|2025-08-16|St. Gilloise|Standard,OU25,O25,1.85,0.5026881720430109,0.3449655260681447,0.4233008863274805,0.3378915053084647,3452,1,1.9,1.813,1.862,2025-33,2025,8,0.0107527917762621,-0.6412433786088501,-0.1577226459748661,0.1577226459748661,0.6848791478841545,8.146998697389993,1,1,3,0.5640692910536772,1.85,1.94,1.9,1.9012,1.8619999999999999,1.8619999999999999,0.0502970199419468,0.8619999999999999
E0,Inglaterra - Premier League,2025,2025-08-16,Sunderland,West Ham,E0|2025-08-16|Sunderland|West Ham,1X2,A,2.25,0.4216662428356253,0.6027298704863647,0.6190404097966298,0.1556670493102325,83,0,2.31,2.205,2.2638,2025-33,2025,8,-0.3159370292015429,0.4168526440916029,0.1810636276507394,0.1810636276507394,1.4260184736843675,4.430816798843313,6,0,0,0.4830059055624812,2.25,2.29,2.25,2.2442,2.205,2.205,0.065028021765271,-1.0
ARG,Argentina - Primera Division,2025,2025-08-17,Banfield,Estudiantes L.P.,ARG|2025-08-17|Banfield|Estudiantes L.P.,1X2,D,2.86,0.3270304461499536,0.3136830223983107,0.3085428956088345,0.897730754354693,869,0,3.0,2.8028,2.94,2025-33,2025,8,-0.7216468151160065,-0.782956594251421,-0.0133474237516428,0.0133474237516428,0.9562619143435112,6.76849321164863,0,0,1,0.370619348972804,2.86,3.03,2.9,2.9694,2.842,2.842,0.05330018978070905,-1.0
CHN,China - Super League,2025,2025-08-23,Qingdao Hainiu,Shanghai Shenhua,CHN|2025-08-23|Qingdao Hainiu|Shanghai Shenhua,1X2,A,1.34,0.6862750449337008,0.4796474216366111,0.4545294932727132,0.1626857478142251,102,1,1.38,1.3132,1.3523999999999998,2025-34,2025,8,0.7827618247374901,-0.0814553213881185,-0.2066276232970897,0.2066276232970897,0.6978973340766085,4.634728988229636,3,0,0,0.7730850182456517,1.34,1.39,1.38,1.3621999999999999,1.3523999999999998,1.3523999999999998,0.04552017867541913,0.3523999999999998
CHN,China - Super League,2025,2025-08-24,Shandong Taishan,Qingdao West Coast,CHN|2025-08-24|Shandong Taishan|Qingdao West Coast,1X2,H,1.28,0.7182251223070705,0.5504505296761668,0.6302374158031676,0.1,83,1,1.33,1.2544,1.3034,2025-34,2025,8,0.9356746146535126,0.2024911835825184,-0.1677745926309036,0.1677745926309036,0.7653382961797517,4.430816798843313,3,0,2,0.8193518214767617,1.28,1.36,1.33,1.3328,1.3034000000000001,1.3034000000000001,0.0679431641128112,0.3034000000000001
F1,França - Ligue 1,2025,2025-08-24,Lorient,Rennes,F1|2025-08-24|Lorient|Rennes,OU25,U25,1.81,0.5186170212765957,0.2957314539651995,0.285081845640212,0.1076648257252439,61,0,1.85,1.7738,1.813,2025-34,2025,8,0.0745025272979208,-0.8677079484514338,-0.2228855673113962,0.2228855673113962,0.5691334999739733,4.127134385045092,8,1,4,0.5709706035313377,1.81,1.89,1.85,1.8521999999999998,1.813,1.813,0.03516970420231513,-1.0
MEX,México - Liga MX,2025,2025-08-24,Cruz Azul,Toluca,MEX|2025-08-24|Cruz Azul|Toluca,1X2,H,2.06,0.4477123661490832,0.3644797323226117,0.4091966828950689,0.3884248259088336,279,1,2.16,2.0188,2.1168,2025-34,2025,8,-0.2099180000077675,-0.5559730367613849,-0.0832326338264715,0.0832326338264715,0.8122792234380153,5.634789603169249,15,0,2,0.4905749569700676,2.06,2.21,2.15,2.1658,2.1069999999999998,2.1069999999999998,0.03364143433593236,1.1069999999999998
CHN,China - Super League,2025,2025-08-25,Beijing Guoan,Wuhan Three Towns,CHN|2025-08-25|Beijing Guoan|Wuhan Three Towns,1X2,H,1.28,0.718677156656135,0.5865788591696902,0.6302374158031676,0.1,83,1,1.32,1.2544,1.2936,2025-35,2025,8,0.9379093211742912,0.3498403314302805,-0.1320982974864447,0.1320982974864447,0.8150583268407952,4.430816798843313,3,0,2,0.8428553509373841,1.28,1.34,1.29,1.3132000000000001,1.2642,1.2642,0.06553773465504098,0.2642
CHN,China - Super League,2025,2025-08-31,Wuhan Three Towns,Shanghai Shenhua,CHN|2025-08-31|Wuhan Three Towns|Shanghai Shenhua,1X2,A,1.3,0.7087618869287252,0.6393079799759489,0.5884011782823378,0.7523176633668525,1106,0,1.34,1.274,1.3132,2025-35,2025,8,0.889378436024228,0.5723618459768032,-0.0694539069527763,0.0694539069527763,0.9007358548686748,7.009408932708637,3,0,0,0.8296058929540916,1.3,1.4,1.3,1.3719999999999999,1.274,1.274,0.056917907623512676,-1.0
F1,França - Ligue 1,2025,2025-08-31,Le Havre,Nice,F1|2025-08-31|Le Havre|Nice,OU25,U25,1.84,0.5106382978723405,0.26570468102091,0.285081845640212,0.1076648257252439,61,0,1.9,1.8032,1.862,2025-35,2025,8,0.0425596144187961,-1.0165258193269426,-0.2449336168514305,0.2449336168514305,0.5193213293958817,4.127134385045092,8,1,4,0.5676268621254331,1.84,2.0,1.9,1.96,1.8619999999999999,1.8619999999999999,0.05692121727755639,-1.0
