Market,Side,MarketBand,DifferenceBand,Season,Bets,Wins,ProfitUnits,HitRate,AverageOdd,ROI
1X2,A,0.05,-0.02,2023,9,0,-9.0,0.0,18.899844444444444,-1.0
1X2,A,0.05,-0.02,2024,8,1,8.66,0.125,17.8409,1.0825
1X2,A,0.05,-0.02,2025,8,0,-8.0,0.0,16.17,-1.0
1X2,A,0.05,0.0,2012,14,0,-14.0,0.0,21.2191,-1.0
1X2,A,0.05,0.0,2013,18,0,-18.0,0.0,21.130433333333333,-1.0
1X2,A,0.05,0.0,2014,15,0,-15.0,0.0,19.155079999999998,-1.0
1X2,A,0.05,0.0,2015,23,0,-23.0,0.0,19.54375652173913,-1.0
1X2,A,0.05,0.0,2016,24,1,-9.055,0.041666666666666664,18.1888,-0.37729166666666664
1X2,A,0.05,0.0,2017,25,2,17.924000000000003,0.08,19.253864,0.7169600000000002
1X2,A,0.05,0.0,2018,20,1,0.5799999999999983,0.05,18.639599999999998,0.028999999999999915
1X2,A,0.05,0.0,2019,10,0,-10.0,0.0,18.725839999999998,-1.0
1X2,A,0.05,0.0,2020,18,2,22.542599999999997,0.1111111111111111,18.740866666666665,1.2523666666666664
1X2,A,0.05,0.0,2021,10,0,-10.0,0.0,18.56806,-1.0
1X2,A,0.05,0.0,2022,30,2,5.280000000000001,0.06666666666666667,18.26328,0.17600000000000005
1X2,A,0.05,0.0,2023,23,0,-23.0,0.0,18.040947826086956,-1.0
1X2,A,0.05,0.0,2024,14,0,-14.0,0.0,18.5556,-1.0
1X2,A,0.05,0.0,2025,14,0,-14.0,0.0,18.41,-1.0
1X2,A,0.05,0.02,2012,17,1,-0.24199999999999733,0.058823529411764705,20.898211764705884,-0.014235294117646902
1X2,A,0.05,0.02,2013,31,1,-14.34,0.03225806451612903,20.2897935483871,-0.4625806451612903
1X2,A,0.05,0.02,2014,19,1,-0.801400000000001,0.05263157894736842,21.34801052631579,-0.04217894736842111
1X2,A,0.05,0.02,2015,13,1,5.620000000000001,0.07692307692307693,19.675384615384615,0.4323076923076924
1X2,A,0.05,0.02,2016,30,1,-14.81,0.03333333333333333,19.883546666666668,-0.4936666666666667
1X2,A,0.05,0.02,2017,33,2,2.769999999999998,0.06060606060606061,19.858957575757575,0.08393939393939387
1X2,A,0.05,0.02,2018,30,3,30.711,0.1,18.89244,1.0237
1X2,A,0.05,0.02,2019,26,2,15.16,0.07692307692307693,19.814846153846155,0.583076923076923
1X2,A,0.05,0.02,2020,14,1,3.346,0.07142857142857142,18.093600000000002,0.23900000000000002
1X2,A,0.05,0.02,2021,26,0,-26.0,0.0,19.281876923076922,-1.0
1X2,A,0.05,0.02,2022,28,3,29.134,0.10714285714285714,17.9879,1.0405
1X2,A,0.05,0.02,2023,20,1,-5.300000000000001,0.05,17.584139999999998,-0.265
1X2,A,0.05,0.02,2024,22,1,0.5399999999999991,0.045454545454545456,17.862281818181817,0.024545454545454506
1X2,A,0.05,0.02,2025,24,0,-24.0,0.0,17.64,-1.0
1X2,A,0.05,0.04,2012,18,3,40.163,0.16666666666666666,19.882022222222222,2.2312777777777777
1X2,A,0.05,0.04,2013,20,1,-3.34,0.05,19.62646,-0.16699999999999998
1X2,A,0.05,0.04,2014,15,1,2.9437999999999995,0.06666666666666667,20.108946666666668,0.1962533333333333
1X2,A,0.05,0.04,2015,29,0,-29.0,0.0,18.81093103448276,-1.0
1X2,A,0.05,0.04,2016,33,0,-33.0,0.0,19.412315151515152,-1.0
1X2,A,0.05,0.04,2017,23,0,-23.0,0.0,20.688652173913045,-1.0
1X2,A,0.05,0.04,2018,25,0,-25.0,0.0,19.832064,-1.0
1X2,A,0.05,0.04,2019,19,0,-19.0,0.0,19.716052631578947,-1.0
1X2,A,0.05,0.04,2020,9,3,44.41,0.3333333333333333,18.277,4.934444444444444
1X2,A,0.05,0.04,2021,25,0,-25.0,0.0,19.28052,-1.0
1X2,A,0.05,0.04,2022,21,0,-21.0,0.0,19.3578,-1.0
1X2,A,0.05,0.04,2023,17,1,-2.3000000000000007,0.058823529411764705,17.297576470588233,-0.13529411764705887
1X2,A,0.05,0.04,2024,25,0,-25.0,0.0,17.459288,-1.0
1X2,A,0.05,0.04,2025,19,0,-19.0,0.0,17.18558947368421,-1.0
1X2,A,0.05,0.06,2012,11,0,-11.0,0.0,18.958545454545455,-1.0
1X2,A,0.05,0.06,2013,14,0,-14.0,0.0,19.166,-1.0
1X2,A,0.05,0.06,2014,17,1,3.5799999999999983,0.058823529411764705,19.753341176470588,0.21058823529411755
1X2,A,0.05,0.06,2015,18,1,7.48,0.05555555555555555,19.271155555555556,0.41555555555555557
1X2,A,0.05,0.06,2016,18,0,-18.0,0.0,19.206366666666668,-1.0
1X2,A,0.05,0.06,2017,27,2,6.8100000000000005,0.07407407407407407,18.56482962962963,0.25222222222222224
1X2,A,0.05,0.06,2018,24,2,7.575599999999998,0.08333333333333333,20.17289166666667,0.31564999999999993
1X2,A,0.05,0.06,2019,13,1,8.559999999999999,0.07692307692307693,20.1292,0.6584615384615383
1X2,A,0.05,0.06,2020,10,1,6.66,0.1,19.99004,0.666
1X2,A,0.05,0.06,2021,19,3,31.401399999999995,0.15789473684210525,17.34496842105263,1.6527052631578945
1X2,A,0.05,0.06,2022,21,0,-21.0,0.0,18.2224,-1.0
1X2,A,0.05,0.06,2023,18,0,-18.0,0.0,17.964488888888887,-1.0
1X2,A,0.05,0.06,2024,13,1,6.168799999999997,0.07692307692307693,17.65356923076923,0.4745230769230767
1X2,A,0.05,0.06,2025,13,0,-13.0,0.0,16.056923076923077,-1.0
1X2,A,0.05,0.08,2012,8,1,7.68,0.125,18.528125,0.96
1X2,A,0.05,0.08,2013,4,0,-4.0,0.0,16.765349999999998,-1.0
1X2,A,0.05,0.08,2014,15,1,0.6799999999999997,0.06666666666666667,19.9332,0.045333333333333316
1X2,A,0.05,0.08,2015,4,0,-4.0,0.0,19.355,-1.0
1X2,A,0.05,0.08,2016,19,0,-19.0,0.0,18.493115789473684,-1.0
1X2,A,0.05,0.08,2017,22,1,-3.4681999999999995,0.045454545454545456,19.138063636363636,-0.15764545454545453
1X2,A,0.05,0.08,2018,18,1,-2.3200000000000003,0.05555555555555555,17.92692222222222,-0.12888888888888891
1X2,A,0.05,0.08,2019,9,0,-9.0,0.0,17.703155555555554,-1.0
1X2,A,0.05,0.08,2020,6,0,-6.0,0.0,17.381933333333333,-1.0
1X2,A,0.05,0.08,2021,17,1,-1.8198000000000008,0.058823529411764705,18.910541176470588,-0.10704705882352945
1X2,A,0.05,0.08,2022,13,0,-13.0,0.0,18.116430769230767,-1.0
1X2,A,0.05,0.08,2023,17,0,-17.0,0.0,18.347329411764708,-1.0
1X2,A,0.05,0.08,2024,9,1,9.620000000000001,0.1111111111111111,18.183355555555558,1.068888888888889
1X2,A,0.05,0.08,2025,7,0,-7.0,0.0,17.080000000000002,-1.0
1X2,A,0.05,0.1,2012,6,0,-6.0,0.0,18.62,-1.0
1X2,A,0.05,0.1,2013,2,0,-2.0,0.0,20.58,-1.0
1X2,A,0.05,0.1,2014,6,0,-6.0,0.0,19.934833333333334,-1.0
1X2,A,0.05,0.1,2015,7,0,-7.0,0.0,19.5104,-1.0
1X2,A,0.05,0.1,2016,10,0,-10.0,0.0,18.4926,-1.0
1X2,A,0.05,0.1,2017,10,0,-10.0,0.0,19.0512,-1.0
1X2,A,0.05,0.1,2018,9,0,-9.0,0.0,18.282444444444444,-1.0
1X2,A,0.05,0.1,2019,5,0,-5.0,0.0,18.85716,-1.0
1X2,A,0.05,0.1,2020,5,0,-5.0,0.0,17.440080000000002,-1.0
1X2,A,0.05,0.1,2021,8,1,12.579999999999998,0.125,19.451774999999998,1.5724999999999998
1X2,A,0.05,0.1,2022,11,1,5.414999999999999,0.09090909090909091,16.801654545454543,0.4922727272727272
1X2,A,0.05,0.1,2023,11,1,5.66,0.09090909090909091,18.255618181818182,0.5145454545454545
1X2,A,0.05,0.1,2024,14,0,-14.0,0.0,17.2235,-1.0
1X2,A,0.05,0.1,2025,5,0,-5.0,0.0,15.288,-1.0
1X2,A,0.05,0.12,2012,5,0,-5.0,0.0,17.97908,-1.0
1X2,A,0.05,0.12,2013,4,0,-4.0,0.0,17.2137,-1.0
1X2,A,0.05,0.12,2014,1,0,-1.0,0.0,40.18,-1.0
1X2,A,0.05,0.12,2015,6,0,-6.0,0.0,16.496666666666666,-1.0
1X2,A,0.05,0.12,2016,5,0,-5.0,0.0,16.366,-1.0
1X2,A,0.05,0.12,2017,4,0,-4.0,0.0,22.2705,-1.0
1X2,A,0.05,0.12,2018,9,0,-9.0,0.0,17.86431111111111,-1.0
1X2,A,0.05,0.12,2019,9,2,24.32,0.2222222222222222,18.40222222222222,2.7022222222222223
1X2,A,0.05,0.12,2020,2,0,-2.0,0.0,19.11,-1.0
1X2,A,0.05,0.12,2021,5,0,-5.0,0.0,20.6976,-1.0
1X2,A,0.05,0.12,2022,5,0,-5.0,0.0,16.856,-1.0
1X2,A,0.05,0.12,2023,5,0,-5.0,0.0,17.06376,-1.0
1X2,A,0.05,0.12,2024,8,0,-8.0,0.0,18.70085,-1.0
1X2,A,0.05,0.12,2025,5,0,-5.0,0.0,17.836,-1.0
1X2,A,0.05,0.14,2012,3,0,-3.0,0.0,21.560000000000002,-1.0
1X2,A,0.05,0.14,2013,3,0,-3.0,0.0,20.188,-1.0
1X2,A,0.05,0.14,2014,2,0,-2.0,0.0,17.6988,-1.0
1X2,A,0.05,0.14,2015,1,0,-1.0,0.0,16.66,-1.0
1X2,A,0.05,0.14,2016,1,0,-1.0,0.0,18.62,-1.0
1X2,A,0.05,0.14,2017,3,0,-3.0,0.0,18.636333333333337,-1.0
1X2,A,0.05,0.14,2018,6,1,14.530999999999999,0.16666666666666666,20.081833333333332,2.4218333333333333
1X2,A,0.05,0.14,2019,3,0,-3.0,0.0,16.496666666666666,-1.0
1X2,A,0.05,0.14,2020,4,0,-4.0,0.0,17.30925,-1.0
1X2,A,0.05,0.14,2021,4,2,28.5262,0.5,17.473399999999998,7.13155
1X2,A,0.05,0.14,2023,2,0,-2.0,0.0,19.6,-1.0
1X2,A,0.05,0.14,2024,5,0,-5.0,0.0,16.19548,-1.0
1X2,A,0.05,0.14,2025,1,0,-1.0,0.0,15.68,-1.0
1X2,A,0.05,0.16,2012,2,0,-2.0,0.0,14.7,-1.0
1X2,A,0.05,0.16,2014,1,0,-1.0,0.0,14.7,-1.0
1X2,A,0.05,0.16,2015,4,0,-4.0,0.0,17.444,-1.0
1X2,A,0.05,0.16,2016,1,0,-1.0,0.0,17.473399999999998,-1.0
1X2,A,0.05,0.16,2017,1,0,-1.0,0.0,20.58,-1.0
1X2,A,0.05,0.16,2018,4,0,-4.0,0.0,16.353749999999998,-1.0
1X2,A,0.05,0.16,2019,2,0,-2.0,0.0,17.4538,-1.0
1X2,A,0.05,0.16,2020,1,0,-1.0,0.0,22.54,-1.0
1X2,A,0.05,0.16,2023,1,0,-1.0,0.0,22.54,-1.0
1X2,A,0.05,0.16,2024,2,0,-2.0,0.0,14.4403,-1.0
1X2,A,0.05,0.18,2013,2,0,-2.0,0.0,18.326,-1.0
1X2,A,0.05,0.18,2014,3,0,-3.0,0.0,17.920933333333334,-1.0
1X2,A,0.05,0.18,2015,2,0,-2.0,0.0,19.6,-1.0
1X2,A,0.05,0.18,2016,1,0,-1.0,0.0,14.945,-1.0
1X2,A,0.05,0.18,2017,1,0,-1.0,0.0,16.66,-1.0
1X2,A,0.05,0.18,2019,1,0,-1.0,0.0,15.68,-1.0
1X2,A,0.05,0.18,2020,1,0,-1.0,0.0,20.58,-1.0
1X2,A,0.05,0.18,2021,5,0,-5.0,0.0,17.64,-1.0
1X2,A,0.05,0.18,2022,2,0,-2.0,0.0,18.3799,-1.0
1X2,A,0.05,0.18,2024,1,0,-1.0,0.0,14.7,-1.0
1X2,A,0.05,0.18,2025,1,0,-1.0,0.0,16.66,-1.0
1X2,A,0.05,0.2,2013,2,0,-2.0,0.0,17.0079,-1.0
1X2,A,0.05,0.2,2014,1,0,-1.0,0.0,15.68,-1.0
1X2,A,0.05,0.2,2015,1,0,-1.0,0.0,18.62,-1.0
1X2,A,0.05,0.2,2016,1,0,-1.0,0.0,21.56,-1.0
1X2,A,0.05,0.2,2017,1,0,-1.0,0.0,17.64,-1.0
1X2,A,0.05,0.2,2018,1,0,-1.0,0.0,16.66,-1.0
1X2,A,0.05,0.2,2019,1,0,-1.0,0.0,16.630599999999998,-1.0
1X2,A,0.05,0.2,2020,1,0,-1.0,0.0,18.62,-1.0
1X2,A,0.05,0.2,2021,2,0,-2.0,0.0,17.15,-1.0
1X2,A,0.05,0.2,2023,1,0,-1.0,0.0,14.7,-1.0
1X2,A,0.05,0.2,2024,1,0,-1.0,0.0,21.756,-1.0
1X2,A,0.05,0.2,2025,2,0,-2.0,0.0,15.0381,-1.0
1X2,A,0.05,0.22,2014,2,0,-2.0,0.0,16.17,-1.0
1X2,A,0.05,0.22,2015,1,0,-1.0,0.0,15.376199999999999,-1.0
1X2,A,0.05,0.22,2022,1,1,13.7,1.0,14.7,13.7
1X2,A,0.05,0.24,2017,1,0,-1.0,0.0,15.0038,-1.0
