WeekID,Bets,Wins,ProfitUnits,HitRate,ROI
2026-02,4,3,0.8901999999999999,0.75,0.22254999999999997
2026-03,4,3,1.096,0.75,0.274
2026-04,4,1,-2.3536,0.25,-0.5884
2026-05,4,1,-2.2654,0.25,-0.56635
2026-06,4,4,2.6444,1.0,0.6611
2026-07,4,2,-0.7464,0.5,-0.1866
2026-08,4,1,-2.3634000000000004,0.25,-0.5908500000000001
2026-09,4,3,0.9685999999999997,0.75,0.24214999999999992
2026-10,4,2,-0.6876000000000002,0.5,-0.17190000000000005
2026-11,4,3,0.9685999999999997,0.75,0.24214999999999992
2026-12,4,3,0.9979999999999998,0.75,0.24949999999999994
2026-13,1,0,-1.0,0.0,-1.0
2026-14,4,4,2.4092,1.0,0.6023
2026-15,4,4,2.6346,1.0,0.65865
2026-16,4,3,0.9489999999999996,0.75,0.2372499999999999
2026-17,4,4,2.7325999999999997,1.0,0.6831499999999999
2026-18,4,3,0.9685999999999997,0.75,0.24214999999999992
2026-19,1,0,-1.0,0.0,-1.0
2026-20,4,4,2.8502,1.0,0.71255
2026-21,1,0,-1.0,0.0,-1.0
