Market,Side,MPBin,Sample,Wins,MarketMean,EmpiricalHit,AverageOdd,CalibratedMarketP,Gap,Reliability,Level,Code
1X2,H,0.575,103,67,0.5865114522574278,0.6504854368932039,1.6211650485436893,0.6125561969905698,0.06397398463577608,0.1,LEAGUE,E1
OU25,O25,0.35,85,36,0.3650140227296207,0.4235294117647059,2.5937647058823528,0.3861791634444387,0.058515389035085186,0.1,LEAGUE,E1
OU25,O25,0.375,214,88,0.3892301582711326,0.411214953271028,2.4340654205607475,0.40215528500184033,0.02198479499989542,0.21849222781273317,LEAGUE,E1
OU25,O25,0.4,422,157,0.4135850734908768,0.37203791469194314,2.2933886255924167,0.38293314864271244,-0.04154715879893367,0.34486561444635405,LEAGUE,E1
OU25,O25,0.425,508,220,0.4377727392154614,0.4330708661417323,2.1675984251968505,0.4341427217056523,-0.0047018730737291015,0.6101192549848502,LEAGUE,E1
OU25,O25,0.45,525,249,0.46203267847958446,0.4742857142857143,2.054438095238095,0.4715628174399077,0.012253035806129853,0.5892412104352274,LEAGUE,E1
OU25,O25,0.475,487,237,0.48616382133847413,0.486652977412731,1.954476386036961,0.48653779152397353,0.000489156074256869,0.6062685519983011,LEAGUE,E1
OU25,O25,0.5,372,172,0.5125091327016539,0.46236559139784944,1.8538172043010752,0.4767746549908967,-0.05014354130380444,0.27069377744775786,LEAGUE,E1
OU25,O25,0.525,251,141,0.5370379029795309,0.5617529880478087,1.767011952191235,0.5525079437579292,0.024715085068277798,0.24913035049856533,LEAGUE,E1
OU25,O25,0.55,166,92,0.5619925525724526,0.5542168674698795,1.6879518072289157,0.5579078572337591,-0.007775685102573093,0.194054544510134,LEAGUE,E1
OU25,O25,0.575,118,73,0.5863824931427218,0.6186440677966102,1.6160169491525425,0.6005872163112249,0.03226157465388835,0.10784514782126223,LEAGUE,E1
OU25,U25,0.4,115,45,0.41397274616659835,0.391304347826087,2.2893043478260866,0.4041355166980745,-0.022668398340511375,0.1165951478212624,LEAGUE,E1
OU25,U25,0.425,166,74,0.4380074474275473,0.4457831325301205,2.165963855421687,0.4420921427662408,0.007775685102573149,0.19405454451013393,LEAGUE,E1
OU25,U25,0.45,251,110,0.46296209702046903,0.43824701195219123,2.0498804780876494,0.44749205624207067,-0.024715085068277798,0.24913035049856533,LEAGUE,E1
OU25,U25,0.475,346,186,0.48655087466758606,0.5375722543352601,1.9527167630057802,0.5221424016131813,0.05102137966767406,0.24861044411442476,LEAGUE,E1
OU25,U25,0.5,513,264,0.5131349298404739,0.5146198830409356,1.8517348927875246,0.5142839207783877,0.0014849532004617139,0.6333147813350327,LEAGUE,E1
OU25,U25,0.525,525,276,0.5379673215204155,0.5257142857142857,1.764342857142857,0.5284371825600923,-0.012253035806129797,0.5892412104352277,LEAGUE,E1
OU25,U25,0.55,508,288,0.5622272607845386,0.5669291338582677,1.6876181102362204,0.5658572782943477,0.004701873073729157,0.6101192549848499,LEAGUE,E1
OU25,U25,0.575,437,275,0.5868812333795194,0.6292906178489702,1.6159954233409612,0.6184534667920407,0.04240938446945086,0.35319894777968724,LEAGUE,E1
OU25,U25,0.6,199,116,0.6115816388441087,0.5829145728643216,1.548643216080402,0.595235661394316,-0.028667065979787076,0.18932556114606636,LEAGUE,E1
OU25,U25,0.625,85,49,0.6349859772703793,0.5764705882352941,1.490705882352941,0.6138208365555612,-0.05851538903508524,0.1,LEAGUE,E1
1X2,A,0.1,84,7,0.11341564564760231,0.08333333333333333,8.442261904761905,0.10261686686812113,-0.030082312314268986,0.1,LEAGUE,F1
1X2,A,0.125,106,12,0.13819636657833514,0.11320754716981132,6.9210377358490565,0.12784943354199324,-0.02498881940852382,0.10490817856975494,LEAGUE,F1
1X2,A,0.15,110,14,0.16279208727993932,0.12727272727272726,5.868,0.14776466573842653,-0.035519360007212064,0.1,LEAGUE,F1
1X2,A,0.175,122,35,0.1876453718552606,0.28688524590163933,5.087377049180327,0.23215737418488636,0.09923987404637874,0.1,LEAGUE,F1
1X2,A,0.2,137,26,0.2127778178789387,0.1897810218978102,4.485109489051095,0.2018002532468321,-0.0229967959811285,0.13843165573526456,LEAGUE,F1
1X2,A,0.225,160,43,0.23748229632565546,0.26875,4.0201875000000005,0.2536204659640268,0.03126770367434453,0.1478871605427591,LEAGUE,F1
1X2,A,0.25,170,49,0.2619826837262313,0.28823529411764703,3.640647058823529,0.2759293829966709,0.026252610391415743,0.16601100243186795,LEAGUE,F1
1X2,A,0.275,141,37,0.2865988519838226,0.2624113475177305,3.328368794326241,0.2748791333249944,-0.024187504466092136,0.14072460281542717,LEAGUE,F1
1X2,A,0.3,150,55,0.3125120157742696,0.36666666666666664,3.0516,0.3395893412204682,0.054154650892397016,0.10288335798062967,LEAGUE,F1
1X2,A,0.325,124,39,0.3367357301553525,0.31451612903225806,2.8316935483870966,0.32668014424563097,-0.022219601123094457,0.12629968188266966,LEAGUE,F1
1X2,A,0.35,109,37,0.3622489175454417,0.3394495412844037,2.6322935779816516,0.3526538132502558,-0.022799376261038007,0.1103632082036131,LEAGUE,F1
