Market,Side,Bin,Sample,Wins,RawMean,EmpiricalHit,CalibratedProbability,CalibrationGap,Reliability,Level,Code
1X2,A,0.4,263,70,0.42408548129170864,0.2661596958174905,0.3029936982604568,0.15792578547421815,0.10519999999999999,LEAGUE,SP2
1X2,A,0.45,152,47,0.471439966808558,0.3092105263157895,0.3651517126926062,0.1622294404927685,0.1,LEAGUE,SP2
1X2,A,0.5,72,28,0.522133936681186,0.3888888888888889,0.4590178614111506,0.13324504779229712,0.1,LEAGUE,SP2
1X2,D,0.2,174,47,0.23470357035203993,0.27011494252873564,0.25896175444158737,0.03541137217669571,0.26584561655006594,LEAGUE,SP2
1X2,D,0.25,996,316,0.2789529382758901,0.3172690763052209,0.31442029280861633,0.03831613802933076,0.7445590798044616,LEAGUE,SP2
1X2,D,0.3,1160,373,0.3225247495003343,0.32155172413793104,0.32161449996776353,0.0009730253624032348,0.9935131642506451,LEAGUE,SP2
1X2,D,0.35,325,98,0.36821257829891785,0.30153846153846153,0.3147086574417616,0.06667411676045631,0.361078827371356,LEAGUE,SP2
1X2,H,0.15,73,23,0.18131320135240458,0.3150684931506849,0.2451310856744599,0.13375529179828033,0.1,LEAGUE,SP2
1X2,H,0.2,217,75,0.22655437108893126,0.3456221198156682,0.3135499989465135,0.11906774872673695,0.1,LEAGUE,SP2
1X2,H,0.25,362,145,0.27629078004418717,0.4005524861878453,0.37806167964600673,0.12426170614365811,0.14479999999999996,LEAGUE,SP2
1X2,H,0.3,457,181,0.32545717552796627,0.39606126914660833,0.38554296842129854,0.07060409361864206,0.48378572288374105,LEAGUE,SP2
1X2,H,0.35,437,188,0.3745625992151554,0.4302059496567506,0.42159576003329285,0.055643350441595185,0.5497847447603054,LEAGUE,SP2
1X2,H,0.4,410,189,0.42339923211487324,0.4609756097560976,0.4548406909575303,0.037576377641224346,0.6145824688946402,LEAGUE,SP2
1X2,H,0.45,318,160,0.472843663508807,0.5031446540880503,0.49705400271533806,0.030300990579243292,0.5075237999440084,LEAGUE,SP2
1X2,H,0.5,196,101,0.5219108699053466,0.5153061224489796,0.5172205420015497,0.006604747456367077,0.3747395933140274,LEAGUE,SP2
1X2,H,0.55,103,58,0.5712676680746385,0.5631067961165048,0.5666743904151424,0.008160871958133642,0.19479240251082977,LEAGUE,SP2
1X2,H,0.6,63,43,0.6176476227949712,0.6825396825396826,0.646236432332851,0.06489205974471135,0.1,LEAGUE,SP2
BTTS,BTTS_N,0.35,72,31,0.3809013451760714,0.4305555555555556,0.404421760618985,0.0496542103794842,0.1,LEAGUE,SP2
BTTS,BTTS_N,0.4,196,103,0.42698587865955717,0.5255102040816326,0.49695242859697303,0.09852432542207545,0.13452309623030947,LEAGUE,SP2
BTTS,BTTS_N,0.45,334,157,0.4766029668294945,0.47005988023952094,0.4713242447979699,0.006543086589973546,0.6388614543859845,LEAGUE,SP2
BTTS,BTTS_N,0.5,519,276,0.5263775265388825,0.5317919075144508,0.5310687848465953,0.005414380975568345,0.9639041268295444,LEAGUE,SP2
BTTS,BTTS_N,0.55,581,323,0.5750830042366754,0.5559380378657487,0.5582551291058003,0.019144966370926664,0.8723668908604889,LEAGUE,SP2
BTTS,BTTS_N,0.6,456,248,0.6243793744952914,0.543859649122807,0.5558775185813867,0.08051972537248431,0.4224400697352954,LEAGUE,SP2
BTTS,BTTS_N,0.65,315,183,0.6724282738130299,0.580952380952381,0.5994791440633984,0.09147589286064894,0.24580124998527442,LEAGUE,SP2
BTTS,BTTS_N,0.7,149,85,0.7209114496643078,0.5704697986577181,0.623025833943863,0.15044165100658968,0.1,LEAGUE,SP2
BTTS,BTTS_Y,0.25,149,64,0.27908855033569224,0.42953020134228187,0.376974166056137,0.15044165100658963,0.1,LEAGUE,SP2
BTTS,BTTS_Y,0.3,315,132,0.32757172618697006,0.41904761904761906,0.4005208559366015,0.091475892860649,0.2458012499852742,LEAGUE,SP2
BTTS,BTTS_Y,0.35,456,208,0.37562062550470865,0.45614035087719296,0.4441224814186132,0.08051972537248431,0.4224400697352954,LEAGUE,SP2
BTTS,BTTS_Y,0.4,581,258,0.4249169957633246,0.4440619621342513,0.4417448708941996,0.01914496637092672,0.8723668908604885,LEAGUE,SP2
BTTS,BTTS_Y,0.45,519,243,0.4736224734611175,0.4682080924855491,0.4689312151534047,0.0054143809755684,0.963904126829544,LEAGUE,SP2
BTTS,BTTS_Y,0.5,334,177,0.5233970331705056,0.5299401197604791,0.52867575520203,0.00654308658997349,0.6388614543859847,LEAGUE,SP2
BTTS,BTTS_Y,0.55,196,93,0.5730141213404428,0.4744897959183674,0.5030475714030269,0.09852432542207545,0.13452309623030947,LEAGUE,SP2
BTTS,BTTS_Y,0.6,72,41,0.6190986548239286,0.5694444444444444,0.5955782393810151,0.04965421037948414,0.1,LEAGUE,SP2
OU25,O25,0.15,97,33,0.18177642795359317,0.3402061855670103,0.26859951545925115,0.15842975761341715,0.1,LEAGUE,SP2
OU25,O25,0.2,212,74,0.22671055382165917,0.3490566037735849,0.3155371380333313,0.12234604995192572,0.1,LEAGUE,SP2
OU25,O25,0.25,381,125,0.2758172172920906,0.32808398950131235,0.31901383380339965,0.05226677220922177,0.4964847971771534,LEAGUE,SP2
OU25,O25,0.3,450,165,0.32515696962219964,0.36666666666666664,0.3604010520184452,0.041509697044467,0.650941817733198,LEAGUE,SP2
OU25,O25,0.35,455,167,0.3748873955996936,0.367032967032967,0.3682074610242532,0.007854428566726579,0.8623498000285255,LEAGUE,SP2
OU25,O25,0.4,410,166,0.4230681929401727,0.40487804878048783,0.4078478682351302,0.018190144159684896,0.7205605452603892,LEAGUE,SP2
OU25,O25,0.45,281,121,0.47344209560371375,0.4306049822064057,0.44009797132492273,0.04283711339730806,0.4015036151380858,LEAGUE,SP2
OU25,O25,0.5,203,70,0.5223033522297698,0.3448275862068966,0.39499741405788547,0.17747576602287318,0.1,LEAGUE,SP2
OU25,O25,0.55,121,54,0.5724628625560226,0.4462809917355372,0.4965026318630936,0.12618187082048543,0.1,LEAGUE,SP2
OU25,U25,0.4,121,67,0.4275371374439773,0.5537190082644629,0.5034973681369064,0.12618187082048554,0.1,LEAGUE,SP2
OU25,U25,0.45,203,133,0.47769664777023024,0.6551724137931034,0.6050025859421145,0.17747576602287318,0.1,LEAGUE,SP2
OU25,U25,0.5,281,160,0.5265579043962862,0.5693950177935944,0.5599020286750773,0.04283711339730811,0.40150361513808563,LEAGUE,SP2
OU25,U25,0.55,410,244,0.5769318070598274,0.5951219512195122,0.5921521317648698,0.018190144159684785,0.7205605452603898,LEAGUE,SP2
OU25,U25,0.6,455,288,0.6251126044003065,0.6329670329670329,0.6317925389757467,0.007854428566726468,0.8623498000285261,LEAGUE,SP2
OU25,U25,0.65,450,285,0.6748430303778004,0.6333333333333333,0.6395989479815547,0.04150969704446705,0.6509418177331976,LEAGUE,SP2
OU25,U25,0.7,381,256,0.7241827827079094,0.6719160104986877,0.6809861661966004,0.05226677220922171,0.4964847971771537,LEAGUE,SP2
OU25,U25,0.75,212,138,0.7732894461783408,0.6509433962264151,0.6844628619666687,0.12234604995192577,0.1,LEAGUE,SP2
OU25,U25,0.8,97,64,0.8182235720464068,0.6597938144329897,0.7314004845407488,0.15842975761341715,0.1,LEAGUE,SP2
1X2,A,0.1,79,8,0.12776166536029282,0.10126582278481013,0.1145970643322228,0.026495842575482695,0.13009104582049155,LEAGUE,SWE
1X2,A,0.15,143,17,0.17677265673813652,0.11888111888111888,0.13964938358318799,0.057891537857017644,0.175620134485953,LEAGUE,SWE
1X2,A,0.2,149,37,0.22457121871487962,0.2483221476510067,0.24002487990039462,0.023750928936127097,0.25081482118022747,LEAGUE,SWE
1X2,A,0.25,167,40,0.2744090422613265,0.23952095808383234,0.2508207424328183,0.03488808417749417,0.25631586589811295,LEAGUE,SWE
1X2,A,0.3,184,54,0.3244667960768526,0.29347826086956524,0.3028687260838947,0.030988535207287338,0.2919747936247884,LEAGUE,SWE
1X2,A,0.35,157,56,0.37134306860583793,0.35668789808917195,0.36163479109057817,0.014655170516665983,0.2833218430517792,LEAGUE,SWE
1X2,A,0.4,133,57,0.42694415020232884,0.42857142857142855,0.42796024420744744,0.001627278369099705,0.2631142930254632,LEAGUE,SWE
1X2,A,0.45,109,44,0.47374438705364724,0.4036697247706422,0.43333095748302525,0.07007466228300502,0.1161581574820327,LEAGUE,SWE
1X2,A,0.5,84,44,0.5247840992287257,0.5238095238095238,0.5242849264530369,0.000974575419201873,0.1669084755304939,LEAGUE,SWE
1X2,A,0.55,69,38,0.5776042389507218,0.5507246376811594,0.5651566383628036,0.026879601269562348,0.11327076683200264,LEAGUE,SWE
1X2,D,0.15,101,14,0.18080464995710963,0.13861386138613863,0.15726172373794903,0.042190788570971,0.14518307139109238,LEAGUE,SWE
1X2,D,0.2,404,100,0.2299648247320539,0.24752475247524752,0.24462228507967831,0.01755992774319362,0.7134105225566637,LEAGUE,SWE
1X2,D,0.25,686,173,0.27431061183435224,0.2521865889212828,0.2544971918364859,0.02212402291306942,0.8525065139128705,LEAGUE,SWE
1X2,D,0.3,188,58,0.3164183322049943,0.30851063829787234,0.3108711439417894,0.007907693907121982,0.3561780472728142,LEAGUE,SWE
1X2,H,0.15,97,26,0.17426666717594164,0.26804123711340205,0.22565725070099055,0.09377456993746042,0.1,LEAGUE,SWE
1X2,H,0.2,131,37,0.22553124164167526,0.2824427480916031,0.2608649257409195,0.05691150644992782,0.16259456873412606,LEAGUE,SWE
1X2,H,0.25,152,52,0.2771225554470183,0.34210526315789475,0.3196974329127649,0.06498270771087644,0.1723017123726237,LEAGUE,SWE
1X2,H,0.3,153,46,0.3248902849700413,0.3006535947712418,0.3089752051399283,0.024236690198799482,0.25655715199444906,LEAGUE,SWE
1X2,H,0.35,169,70,0.3742279171930232,0.41420118343195267,0.401358366969646,0.039973266238929495,0.24792690674161222,LEAGUE,SWE
1X2,H,0.4,152,70,0.42217864756554246,0.4605263157894737,0.4473029819191526,0.03834766822393121,0.22628205906616608,LEAGUE,SWE
1X2,H,0.45,122,62,0.473452575513246,0.5081967213114754,0.49443666356960236,0.03474414579822943,0.18748285616821345,LEAGUE,SWE
1X2,H,0.5,107,58,0.523126587462585,0.5420560747663551,0.5339578983797155,0.018929487303770087,0.18699393144662133,LEAGUE,SWE
1X2,H,0.55,116,71,0.5739935103400717,0.6120689655172413,0.596527963404111,0.03807545517716959,0.17310996265931103,LEAGUE,SWE
BTTS,BTTS_N,0.3,89,37,0.32883130198981225,0.4157303370786517,0.374594699166775,0.08689903508883945,0.1,LEAGUE,SWE
BTTS,BTTS_N,0.35,157,70,0.37708021670791236,0.445859872611465,0.4226431111250337,0.06877965590355262,0.17002125364189652,LEAGUE,SWE
BTTS,BTTS_N,0.4,253,107,0.42640078811299553,0.42292490118577075,0.42375994909621517,0.0034758869272247805,0.4942746747654951,LEAGUE,SWE
BTTS,BTTS_N,0.45,340,173,0.47483810035562923,0.5088235294117647,0.5023501143534532,0.03398542905613544,0.5259327216121861,LEAGUE,SWE
BTTS,BTTS_N,0.5,291,147,0.5234908022076287,0.5051546391752577,0.5091085287779253,0.018336163032370956,0.5108556874344007,LEAGUE,SWE
BTTS,BTTS_N,0.55,153,74,0.5725621875017864,0.48366013071895425,0.5141844420606992,0.0889020567828322,0.12463980416302231,LEAGUE,SWE
BTTS,BTTS_N,0.6,76,42,0.6238150989932368,0.5526315789473685,0.5891359482016599,0.07118352004586836,0.1,LEAGUE,SWE
BTTS,BTTS_Y,0.35,76,34,0.3761849010067633,0.4473684210526316,0.41086405179834007,0.07118352004586831,0.1,LEAGUE,SWE
BTTS,BTTS_Y,0.4,153,79,0.4274378124982136,0.5163398692810458,0.48581555793930076,0.0889020567828322,0.12463980416302231,LEAGUE,SWE
BTTS,BTTS_Y,0.45,291,144,0.4765091977923713,0.4948453608247423,0.49089147122207466,0.01833616303237101,0.5108556874344005,LEAGUE,SWE
BTTS,BTTS_Y,0.5,340,167,0.5251618996443708,0.49117647058823527,0.4976498856465468,0.0339854290561355,0.5259327216121857,LEAGUE,SWE
BTTS,BTTS_Y,0.55,253,146,0.5735992118870045,0.5770750988142292,0.5762400509037848,0.0034758869272247805,0.4942746747654951,LEAGUE,SWE
BTTS,BTTS_Y,0.6,157,87,0.6229197832920876,0.554140127388535,0.5773568888749663,0.06877965590355262,0.17002125364189652,LEAGUE,SWE
BTTS,BTTS_Y,0.65,89,52,0.6711686980101877,0.5842696629213483,0.625405300833225,0.08689903508883945,0.1,LEAGUE,SWE
OU25,O25,0.3,66,26,0.32807817563512476,0.3939393939393939,0.3578510551425341,0.06586121830426916,0.1,LEAGUE,SWE
OU25,O25,0.35,114,45,0.3782661279459397,0.39473684210526316,0.3879447950292535,0.01647071415932344,0.20296451447782837,LEAGUE,SWE
OU25,O25,0.4,195,94,0.42574652538545654,0.48205128205128206,0.46567171647576916,0.05630475666582552,0.24360763266885366,LEAGUE,SWE
OU25,O25,0.45,257,136,0.4761732553213224,0.5291828793774319,0.5165989923611448,0.05300962405610954,0.332353688234398,LEAGUE,SWE
