Level,Code,Market,Side,ProbBin,Sample,Wins,MeanPred,HitRate,Brier,CalibrationGap
LIGA,SP2,1X2,H,0.35,220,81,0.37420213413917763,0.36818181818181817,0.23181454565410597,0.006020315957359468
LIGA,SP2,1X2,H,0.4,314,137,0.429442509100871,0.43630573248407645,0.246631520570048,0.006863223383205441
LIGA,SP2,1X2,H,0.45,280,140,0.47297128473505473,0.5,0.25088267038974166,0.02702871526494527
LIGA,SP2,1X2,H,0.5,266,140,0.5238434072680849,0.5263157894736842,0.2483399544879836,0.0024723822055993105
LIGA,SP2,1X2,H,0.55,149,85,0.5727839842223122,0.5704697986577181,0.2456628300531206,0.0023141855645941733
LIGA,SP2,1X2,H,0.6,93,61,0.6218148785119477,0.6559139784946236,0.22690709900060418,0.03409909998267591
LIGA,SP2,1X2,H,0.65,35,21,0.6698696732425822,0.6,0.24670126334277026,0.0698696732425822
LIGA,SP2,1X2,H,0.7,22,21,0.7181246445222963,0.9545454545454546,0.10061662133315853,0.2364208100231583
LIGA,SP2,1X2,H,0.75,10,7,0.7667891715664641,0.7,0.2164638560189614,0.06678917156646413
LIGA,SP2,1X2,H,0.8,2,0,0.8118514231779375,0.0,0.6591167612939699,0.8118514231779375
LIGA,SP2,1X2,H,0.85,1,1,0.8652016266589049,1.0,0.018170601455405264,0.13479837334109512
LIGA,SP2,OU25,O25,0.15,1,0,0.1972633485894773,0.0,0.03891282869673364,0.1972633485894773
LIGA,SP2,OU25,O25,0.2,8,4,0.23418203922165237,0.5,0.3225785654806542,0.26581796077834763
LIGA,SP2,OU25,O25,0.25,80,28,0.2837983272265067,0.35,0.22780592052341758,0.06620167277349326
LIGA,SP2,OU25,O25,0.3,305,99,0.32886318843406204,0.32459016393442625,0.22024820788562155,0.004273024499635791
LIGA,SP2,OU25,O25,0.35,400,152,0.3752270006718162,0.38,0.2356762351857995,0.0047729993281838135
LIGA,SP2,OU25,O25,0.4,458,186,0.4270086762310035,0.40611353711790393,0.24090472358067117,0.020895139113099592
LIGA,SP2,OU25,O25,0.45,266,121,0.47299769522134766,0.4548872180451128,0.24774215946827713,0.018110477176234874
LIGA,SP2,OU25,O25,0.5,159,92,0.5238524923871273,0.5786163522012578,0.24643446197962052,0.05476385981413057
LIGA,SP2,OU25,O25,0.55,88,61,0.5738876765807917,0.6931818181818182,0.2286694659252686,0.11929414160102658
LIGA,SP2,OU25,O25,0.6,38,25,0.6215494682963077,0.6578947368421053,0.22812017543626067,0.03634526854579756
LIGA,SP2,OU25,O25,0.65,14,6,0.675139180339591,0.42857142857142855,0.30553627546891216,0.24656775176816242
LIGA,SP2,OU25,O25,0.7,1,0,0.7317158937662506,0.0,0.5354081491901429,0.7317158937662506
LIGA,SP2,OU25,U25,0.25,1,1,0.2884903896853039,1.0,0.5062459255701707,0.7115096103146961
LIGA,SP2,OU25,U25,0.3,12,9,0.3305836863187081,0.75,0.36487643282480114,0.4194163136812919
LIGA,SP2,OU25,U25,0.35,20,6,0.3731464014358993,0.3,0.21543232098080428,0.07314640143589929
LIGA,SP2,OU25,U25,0.4,93,28,0.428275334161404,0.3010752688172043,0.2271183306257468,0.1272000653441997
